센터인지,프로그램인지,휴학이유,어려운점1,어려운점2,어려운점3,도움1,도움2,도움3,진로계획,필요성,불필요이유,참여의사,불참이유,도움대상1,도움대상2,도움대상3,선호시간,희망1,희망2,희망3,상담회수,구분,학과,연령,학년,성별
1,2,1,1,5,3,1,3,2,1,2,9999,3,9999,2,3,1,1,2,1,5,2,1,레저스포츠학과,21,2,1
2,2,8,4,1,3,1,3,6,1,4,1,4,3,3,2,1,1,1,2,3,1,2,레저스포츠학과,22,2,1
1,1,8,1,3,5,4,3,1,1,2,9999,2,9999,3,4,2,3,2,1,3,2,3,레저스포츠학과,24,3,1
2,2,1,2,3,4,3,1,4,1,2,9999,3,9999,4,2,3,4,2,4,6,3,1,레저스포츠학과,24,3,1
1,2,1,3,4,1,3,4,1,1,1,9999,2,9999,5,4,3,1,2,7,1,3,1,레저스포츠학과,23,3,1
2,2,1,3,1,4,1,3,4,1,1,9999,3,9999,3,5,4,2,2,8,1,2,1,레저스포츠학과,23,3,1
1,2,1,3,4,1,3,4,1,1,2,9999,2,9999,5,3,2,2,8,1,3,5,1,레저스포츠학과,23,4,1
2,2,5,3,1,4,3,1,2,1,2,9999,3,9999,5,4,6,1,1,2,8,2,2,레저스포츠학과,22,4,2
1,2,5,3,2,5,3,1,2,8,2,9999,3,9999,4,5,6,3,8,4,1,3,2,레저스포츠학과,25,4,1
2,2,9999,3,1,2,4,3,2,1,2,9999,3,9999,4,6,3,1,1,2,3,1,2,환경공학과,25,4,1
2,2,5,2,1,3,3,4,5,1,3,9999,3,9999,2,3,1,1,1,2,3,1,2,환경공학과,22,4,2
2,2,1,2,1,3,2,5,3,1,2,9999,3,9999,1,2,3,1,1,6,2,1,1,환경공학과,22,2,1
2,2,1,1,3,2,3,4,5,1,3,9999,3,9999,4,5,1,1,5,4,2,1,1,환경공학과,23,3,1
1,1,1,2,1,3,2,3,4,1,5,3,5,3,4,5,1,1,5,4,2,1,1,환경공학과,23,2,1
2,2,1,1,2,3,1,2,3,1,3,9999,3,9999,1,2,3,1,1,2,3,2,1,환경공학과,22,3,1
1,1,1,1,9999,9999,5,9999,9999,1,2,9999,3,9999,4,9999,9999,1,1,4,6,2,1,환경공학과,21,2,1
